title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Alien Space Avenger,1989,Richard W. Haines,80,157,39,3.2,0,5,8,4,12,18,22,20,4,3
Revengers Tragedy,2002,Alex Cox,106,254,39,3.1,1,6,6,21,18,48,26,20,1,6
Battledogs,2013,Alexander Yellen,85,307,20,2.1,33,46,25,52,17,14,12,3,1,1
Digital Man,1995,Phillip J. Roth,95,188,26,2.7,4,10,16,19,22,29,13,3,2,3
Death Trance,2005,Yûji Shimomura,90,316,33,3.0,2,9,6,20,26,52,31,15,5,6
Bloody Mallory,2002,Julien Magnat,94,209,20,2.7,6,15,11,18,16,35,13,2,5,0
Agent for H.A.R.M.,1966,Gerd Oswald,84,331,15,2.0,30,41,27,29,12,5,5,2,0,0
Trancers: City of Lost Angels,1988,Charles Band,24,238,69,3.2,3,1,3,11,17,54,33,25,5,6
Spark of Being,2010,Bill Morrison,68,144,35,3.5,0,0,1,5,6,13,28,17,7,5
AVH: Alien vs. Hunter,2007,Scott Harper,85,344,8,1.5,109,62,13,17,7,0,0,1,0,5
Dinocroc,2004,Kevin O'Neill,86,318,17,2.2,18,37,29,34,22,21,6,6,0,2
Road to the Stars,1958,Pavel Klushantsev,49,118,20,3.5,0,0,0,1,4,19,16,21,6,5
Julie & Jack,2003,James Nguyen,91,294,22,1.6,107,38,19,8,11,9,3,3,0,3
Chrysalis,2007,Julien Leclercq,94,315,20,2.7,2,17,12,34,37,46,19,10,0,0
Virgin Hunters,1994,David DeCoteau,74,146,22,2.7,3,10,9,25,7,19,8,4,2,1
Womaneater,1958,Charles Saunders,70,186,22,2.6,2,13,14,38,20,20,6,4,0,0
U.F.O.,2012,Dominic Burns,101,298,13,1.9,49,58,22,37,10,13,7,4,0,2
Blood Reign: Curse of the Yoma,1989,Takashi Anno,77,196,30,3.1,1,6,7,10,13,28,19,11,6,7
Wasteland,2019,Jonni Phillips,81,145,71,4.1,1,0,0,0,0,5,6,14,21,48
Beyond The Sky,2018,Fulvio Sestito,85,247,13,2.4,8,27,23,49,34,41,11,3,0,2
Crawl or Die,2014,Oklahoma Ward,86,225,29,2.6,16,17,18,26,32,27,10,12,2,6
Eel Girl,2008,Paul Campion,5,271,29,2.8,7,11,8,30,34,40,19,8,2,6
Iria: Zeiram the Animation,1994,Tetsuro Amino,151,268,66,3.4,0,3,5,2,13,33,30,33,3,11
"Honey, I Shrunk the Audience",1994,Randal Kleiser,23,794,54,3.1,0,7,6,37,40,84,45,34,10,12
Contact,1978,Vladimir Tarasov,10,285,52,3.3,0,3,4,13,19,27,37,32,9,6
Friendship's Death,1987,Peter Wollen,78,89,19,3.3,0,0,0,5,7,11,19,7,4,0
Death Run,1987,Michael J. Murphy,70,121,18,2.9,12,1,7,11,8,16,14,3,3,2
Alien Private Eye,1989,Vik Rubenfeld,90,142,17,2.4,12,23,13,17,5,8,4,3,1,3
The Worthy,2016,Ali F. Mostafa,95,303,24,2.6,7,14,23,49,50,41,21,15,2,3
Apocalypse Zero,1996,Toshiki Hirano,80,201,37,2.7,13,15,11,19,11,22,9,11,3,9
Brave New World,1980,Burt Brinckerhoff,180,215,24,3.0,7,6,3,7,20,32,26,2,2,7
The Egg,2019,,8,391,130,3.8,1,4,3,1,7,23,40,62,29,48
The Nanny,2018,Joel Novoa,80,279,17,2.1,30,50,34,43,23,24,11,5,1,4
Dickshark,2016,Bill Zebub,149,130,14,2.0,44,16,13,5,1,8,0,0,1,4
Alien Hunter,2003,Ron Krauss,100,381,18,2.4,3,26,29,64,50,37,15,3,1,2
The Caller,1987,Arthur Allan Seidelman,97,155,32,3.2,0,3,6,14,7,21,25,20,1,3
Cosmic Journey,1936,Vasily Zhuravlyov,70,147,24,3.5,0,0,0,4,5,29,24,32,2,3
Peacemaker,1990,Kevin Tenney,100,162,27,3.1,1,0,3,10,17,25,16,11,2,0
Battle of Memories,2017,Leste Chen,120,257,30,3.1,1,3,12,22,27,42,42,21,3,4
Human Lost,2019,Fuminori Kizaki,110,147,20,2.8,1,7,20,22,27,9,15,7,4,2
Karate Cop,1991,Alan Roberts,90,228,24,2.2,20,37,17,14,14,10,6,4,0,0
Doctor Who: The Daleks,1964,"Richard Martin,Christopher Barry",171,416,100,3.6,0,0,1,4,7,45,54,69,11,20
The iMom,2014,Ariel Martin,14,348,53,3.2,1,7,5,14,28,58,46,38,9,8
LA 2017,1971,Steven Spielberg,76,104,10,3.0,3,2,1,10,13,16,6,2,0,0
The Man with Nine Lives,1940,Nick Grinde,74,194,31,3.1,0,0,0,12,26,53,20,8,5,1
Street Asylum,1990,Gregory Dark,94,169,34,3.0,1,3,5,14,13,26,20,9,1,0
She Devil,1957,Kurt Neumann,77,145,18,3.0,1,0,2,18,16,14,8,7,0,2
Albatroz,2019,Daniel Augusto,97,241,26,2.7,8,17,18,34,26,34,23,17,2,1
Crash of Moons,1954,Hollingsworth Morse,78,334,19,2.2,18,34,24,38,26,14,5,0,0,1
Repligator,1996,Bret McCormick,86,184,24,2.2,38,25,7,13,12,14,5,0,0,5
Time Barbarians,1990,Joseph John Barmettler,96,211,10,2.2,15,30,21,22,19,11,4,3,1,0
Indru Netru Naalai,2015,R. Ravi Kumar,146,399,109,3.4,0,2,1,13,13,62,84,46,15,14
Ah! My Goddess: The Movie,2000,Hiroaki Gôda,106,363,42,3.2,4,1,2,14,22,54,29,25,9,7
Phobe: The Xenophobic Experiments,1995,Erica Benedikty,81,176,59,3.1,3,6,6,9,17,39,18,22,0,4
The Last Man,2018,Rodrigo H. Vila,101,186,19,2.3,25,21,29,27,11,16,6,7,0,3
Raging Sharks,2005,Danny Lerner,92,201,14,2.1,16,39,27,23,6,4,1,2,1,1
The Mind Snatchers,1972,Bernard Girard,94,179,20,3.0,2,1,4,23,23,23,9,8,4,2
Dark Universe,1993,"Steve Latshaw,Grant Austin Waldman",83,168,21,2.4,8,22,18,15,14,12,7,1,0,0
Interplanetary Revolution,1924,"Nikolai Khodataev,Zenon Komissarenko,Youry Merkulov",8,269,49,3.1,1,4,3,13,23,34,25,18,5,2
Droid Gunner,1995,Fred Olen Ray,90,186,28,2.6,4,13,18,27,23,25,3,8,1,1
Growth,2010,Gabriel Cowan,90,230,13,2.5,7,10,25,36,24,18,7,3,2,0
Beyond Loch Ness,2008,Paul Ziller,91,292,15,2.2,23,37,23,40,25,19,7,2,0,2
Arctic Blast,2010,Brian Trenchard-Smith,92,294,17,2.1,34,36,25,28,19,20,3,5,0,2
Komodo vs. Cobra,2005,"Jim Wynorski,Dan Golden",94,348,20,1.9,53,46,37,25,9,14,4,0,1,7
Bride of the Incredible Hulk,1978,Kenneth Johnson,95,267,48,3.1,2,5,6,18,13,33,16,17,6,5
Encounter in Space,1963,"Otar Koberidze,Mikhail Karzhukov",64,92,18,3.3,0,0,0,5,11,19,11,9,1,1
A Beautiful Star,2017,Daihachi Yoshida,127,219,24,3.1,1,1,5,20,29,35,27,23,6,1
Invasion,2020,Fyodor Bondarchuk,129,202,12,2.6,10,13,16,29,35,44,10,3,0,3
The arrival of Wang,2012,"Antonio Manetti,Marco Manetti",80,231,22,2.8,8,8,10,23,32,43,17,12,7,0
The Lost World,2001,Stuart Orme,150,457,45,3.0,2,9,8,33,35,66,37,28,5,4
Half-Life,2008,Jennifer Phang,106,137,6,3.8,0,1,0,2,5,9,10,16,20,26
The Secret of the Telegian,1960,Jun Fukuda,85,102,22,3.3,0,0,2,2,9,24,14,7,0,2
Doctor of Doom,1963,René Cardona,80,90,13,3.0,0,0,8,10,11,11,10,0,1,0
Shyness Machine Girl,2009,Noboru Iguchi,22,156,30,3.0,4,3,6,15,17,23,8,5,5,4
Bubblegum Crash!,1991,"Hiroshi Ishiodori,Hiroyuki Fukushima",150,177,21,3.2,0,0,1,10,16,27,19,8,2,2
The Curious Female,1970,Paul Rapp,87,119,14,2.7,6,5,6,20,10,18,7,0,1,0
Murder by Television,1935,Clifford Sanforth,53,167,12,2.3,6,21,30,22,7,13,2,1,0,2
Praetoria: Part One,2017,Neill Blomkamp,3,415,44,2.6,6,20,23,43,49,55,15,6,1,4
Arrowhead,2015,Jesse O'Brien,95,254,26,2.5,14,19,21,41,25,25,12,5,4,3
Digital Devil Story - Goddess Reborn,1987,Mizuho Nishikubo,45,220,32,2.9,6,4,8,15,25,35,13,11,4,1
Universal Soldier II: Brothers in Arms,1998,Jeff Woolnough,92,354,11,1.9,32,54,34,32,10,8,2,4,0,1
The Calculus Affair,1992,Stéphane Bernasconi,43,689,70,3.3,0,1,2,27,25,82,40,37,8,13
Marvel Rising: Heart of Iron,2019,"Alfred Gimeno,Sol Choi",44,173,34,3.1,7,5,3,10,21,30,15,14,5,9
Parts Per Billion,2014,Brian Horiuchi,98,229,12,2.4,9,27,14,39,26,22,5,4,1,2
Abduction,2019,Ernie Barbarash,98,238,22,2.4,10,21,20,50,27,23,9,2,0,3
Monster,2008,Erik Estenberg,86,253,11,1.7,67,29,15,13,7,4,3,1,0,0
The Last Man on Earth,2011,Gian Alfonso Pacinotti,100,205,28,3.0,0,4,4,21,21,46,20,14,5,1
Excursion to the Moon,1908,Segundo de Chomón,7,309,27,2.7,2,6,16,29,37,32,9,2,3,2
Sons of Steel,1989,Gary L. Keady,104,52,15,3.3,1,2,2,2,3,9,4,5,5,0
The Navy vs. the Night Monsters,1966,Michael A. Hoey,87,129,15,2.7,2,6,11,20,13,12,3,3,1,0
The Phantom Empire,1935,"B. Reeves Eason,Otto Brower",245,111,23,3.3,1,0,0,9,7,15,7,8,0,6
Hardwired,2009,"Ernie Barbarash,Tia Buhl",94,313,12,2.4,10,19,23,42,33,27,6,4,0,0
The Three Stooges Meet Hercules,1962,"Edward Bernds,Herb Wallerstein",89,243,35,2.9,1,6,6,21,23,50,8,8,4,3
End of the World,1931,Abel Gance,105,104,10,3.1,0,1,2,10,9,26,7,7,1,0
9,2019,Januse Mohammed,159,244,52,3.0,3,3,7,20,37,65,43,16,2,3
Star Pilot,1966,Pietro Francisci,89,140,16,2.7,5,10,6,22,13,13,9,6,0,1
Alien Invasion: S.U.M.1,2017,Christian Pasquariello,95,240,10,2.2,26,32,28,32,18,25,9,4,2,2
Bermuda Tentacles,2014,Nick Lyon,126,274,18,2.0,32,45,26,40,9,15,2,5,0,3
Tokyo Ghoul 'S',2019,"Takuya Kawasaki,Kazuhiko Hiramaki",97,174,26,2.9,4,7,4,18,19,48,17,8,1,2
Late for Dinner,1991,W.D. Richter,99,206,28,3.1,0,3,4,16,15,37,17,15,1,2
Butterfly,2015,Marco Berger,103,146,21,3.2,1,3,3,6,16,33,17,16,2,4
41,2012,Glenn Triggs,80,206,27,2.9,2,6,18,25,23,37,25,19,2,3
Project: Shadowchaser,1992,John Eyres,97,179,20,2.8,1,11,8,18,25,29,11,4,1,1
Cryptic Plasm,2013,Brian Paulin,80,90,27,3.4,0,2,2,3,6,14,14,18,2,4
Before the Fall,2008,F. Javier Gutiérrez,93,218,20,3.0,1,7,5,24,21,43,32,14,3,3
Layer Cake,1968,Andrzej Wajda,35,99,15,3.4,2,0,1,3,1,11,22,15,0,2
Doctor Who: Pyramids of Mars,1975,Paddy Russell,100,367,101,3.9,0,1,0,1,11,25,19,52,22,56
Megan,2018,Greg Strasz,8,231,36,3.0,1,2,9,17,18,58,13,14,1,4
Jackrabbit,2015,Carleton Ranney,101,174,24,2.8,0,12,6,32,31,22,18,6,0,1
Explorers on the Moon,1992,Stéphane Bernasconi,41,660,70,3.5,0,0,0,17,16,55,44,57,16,17
Before Your Eyes,2009,Miraz Bezar,102,183,34,3.6,0,0,2,3,3,16,25,40,10,8
Mammoth,2006,Tim Cox,90,309,14,2.0,35,48,13,38,18,6,7,1,1,2
The Black Bomber,1992,Darko Bajić,116,381,71,3.6,1,1,1,8,16,26,21,44,12,29
Mobile Suit Gundam 00: A Wakening of the Trailblazer,2010,Seiji Mizushima,123,414,57,3.1,7,14,9,25,33,51,38,40,10,14
Cencoroll Connect,2019,Atsuya Uki,75,138,25,3.4,1,0,3,4,4,22,35,9,1,7
Doctor Who: The Tomb of the Cybermen,1967,Morris Barry,100,342,101,3.9,0,1,0,2,3,21,21,58,33,37
Towers Open Fire,1963,Antony Balch,10,230,35,3.3,0,3,2,7,7,32,19,18,3,7
Mock Up on Mu,2008,Craig Baldwin,114,84,20,3.4,2,1,1,2,3,5,9,11,4,2
Doctor Who: The Caves of Androzani,1984,Graeme Harper,100,356,98,4.1,0,0,1,2,4,17,17,35,20,84
The Noah's Ark Principle,1984,Roland Emmerich,100,152,10,2.9,0,4,8,18,18,20,10,4,0,2
Sight,2012,"Daniel Lazo,Eran May-Raz",7,288,31,3.3,1,3,5,9,16,50,52,22,12,6
The Quiet Hour,2014,Stéphanie Joalland,85,146,9,2.7,4,7,8,28,18,22,8,1,0,1
Eyes Behind the Stars,1978,Mario Gariazzo,90,145,12,2.4,10,22,15,20,14,14,2,2,1,0
Fascisti su Marte,2006,"Corrado Guzzanti,Igor Skofic",100,335,71,3.4,1,2,3,10,28,47,37,38,18,8
Virtual Revolution,2016,Guy-Roger Duvert,92,193,20,2.7,9,9,16,27,31,23,19,6,3,1
The Treasure Planet,1982,Rumen Petkov,72,105,36,3.4,5,4,1,4,6,8,5,9,6,16
The Garden of Sinners: Future Gospel - Extra Chorus,2013,Ei Aoki,32,360,47,3.1,2,7,6,25,20,54,40,26,5,7
Japon İşi,1987,Kartal Tibet,89,825,19,2.6,17,21,26,42,44,59,22,11,2,7
The Champions of Justice,1971,Federico Curiel,80,127,33,3.3,1,1,2,4,9,19,18,17,1,6
Atomic Rulers,1965,"Teruo Ishii,Akira Miwa,Nagayoshi Akasaka",74,112,14,2.7,3,7,13,16,10,13,4,2,0,0
The Pass,1988,Vladimir Tarasov,30,150,29,3.5,0,0,2,6,5,20,16,24,3,11
The Purple Ball,1987,Pavel Arsyonov,77,102,23,3.4,0,1,2,2,8,14,16,13,4,2
Garzey's Wing,1996,Yoshiyuki Tomino,90,218,54,2.3,52,28,10,9,5,4,2,10,6,19
Fertilize the Blaspheming Bombshell!,1990,Jeff Hathcock,88,139,4,2.3,18,15,10,16,5,9,0,0,0,1
The Mildew from Planet Xonader,2015,"Giulio De Santi,Neil Meschino",85,115,25,3.1,0,4,8,9,14,20,14,11,1,4
A Princesa e o Robô,1983,Mauricio de Sousa,90,521,39,3.4,1,4,1,3,14,59,30,37,6,17
Resistopia: The Movie,2016,,20,360,92,3.6,0,1,0,3,10,46,34,64,2,16
Xchange,2001,Allan Moyle,105,175,14,2.8,3,10,6,21,20,27,11,4,2,0
Plan 9,2015,John Johnson,102,146,16,2.5,15,20,9,21,11,18,7,3,0,5
Assassin,1986,Sandor Stern,95,90,4,2.7,2,9,3,14,13,10,0,0,0,0
Exterminator City,2005,Clive Cohen,90,89,11,2.4,27,11,0,3,7,4,1,3,1,3
Teenage Monster,1958,Jacques R. Marquette,65,104,10,2.7,2,11,12,9,10,8,5,1,1,1
Tears of Kali,2004,Andreas Marschall,106,166,15,3.0,8,5,4,9,15,23,18,13,1,2
Solaris,1968,"Lidiya Ishimbaeva,Boris Nirenburg",142,119,12,3.4,0,1,4,3,7,7,14,11,3,5
Genesis II,1973,John Llewellyn Moxey,74,156,17,2.8,2,3,2,20,29,21,6,1,1,0
Dead Sea,2014,Brandon Slagle,90,199,3,2.6,28,26,15,4,4,10,12,26,10,5
Turok: Son of Stone,2008,"Curt Geda,Dan Riba,Frank Squillace",73,137,28,3.2,0,2,1,12,9,27,11,11,4,2
Leda - The Fantastic Adventure of Yohko,1985,Kunihiko Yuyama,70,145,28,3.1,1,2,5,6,11,29,17,6,2,3
Beyond White Space,2018,Ken Locsmandi,93,200,17,2.5,5,11,25,41,35,22,9,6,1,1
LEGO Star Wars: The Quest for R2-D2,2009,Peder Pedersen,5,338,50,2.9,2,8,10,22,36,56,15,16,5,5
Doctor Who: Remembrance of the Daleks,1988,"John Nathan-Turner,Andrew Morgan",100,325,95,4.1,0,1,0,4,1,9,21,38,25,66
Alien Code,2017,Michael G. Cooney,97,214,22,2.8,7,6,16,31,27,33,20,7,4,2
Doctor Who: The Three Doctors,1973,Lennie Mayne,100,303,86,3.8,0,0,2,2,2,22,37,53,25,17
Russian Roulette,2014,Ben Aston,5,218,54,3.4,2,1,0,9,16,30,32,27,7,9
Half Human: The Story of the Abominable Snowman,1958,"Ishirō Honda,Kenneth G. Crane",63,100,9,2.7,6,4,6,13,10,10,1,0,0,0
Dreamland,2006,Jason Matzner,88,244,30,3.1,2,4,4,20,11,34,21,11,4,4
Ferocious Planet,2011,Billy O'Brien,89,210,16,2.3,13,26,22,49,15,11,7,2,0,3
The Brain Machine,1977,Joy N. Houck Jr.,85,100,3,2.4,8,17,11,12,2,2,3,1,0,0
Starflight: The Plane That Couldn't Land,1983,Jerry Jameson,105,226,12,2.7,5,7,13,23,21,30,10,3,0,1
Judge,1991,Hiroshi Negishi,50,182,11,2.7,3,14,12,20,14,19,10,2,0,2
Abiogenesis,2011,Richard Mans,5,241,27,3.1,0,4,7,16,29,44,32,7,9,4
Dr. Moreau's House of Pain,2004,Charles Band,72,164,10,2.8,11,9,17,18,12,18,8,14,8,3
Alien Seed,1989,Bob James,88,108,2,2.3,16,18,14,5,7,1,2,0,0,0
The Three Fantastic Supermen,1967,Gianfranco Parolini,94,105,17,3.1,1,2,3,5,10,25,8,3,0,1
Circuitry Man II: Plughead Rewired,1994,"Steven Lovy,Robert Lovy",98,140,8,2.6,8,14,10,16,4,12,4,5,0,3
Buck Rogers,1939,"Ford Beebe,Saul A. Goodkind",237,122,20,3.2,0,0,0,9,6,21,12,5,0,1
The Wicksboro Incident,2003,Richard Lowry,71,110,9,3.0,0,5,4,12,16,12,9,8,2,1
Curtain Call,1998,Peter Yates,94,220,23,2.9,2,5,3,25,27,36,8,6,2,1
The Terrornauts,1967,Montgomery Tully,75,113,14,2.8,0,4,15,19,14,15,5,2,1,0
Manhunt in Space,1956,Hollingsworth Morse,78,270,13,2.0,19,45,28,23,6,5,3,2,0,1
"Reigo, the Deep-Sea Monster vs. the Battleship Yamato",2008,Shinpei Hayashiya,81,102,20,2.8,3,8,11,9,18,21,5,3,1,1
Rocket-bye Baby,1956,Chuck Jones,7,313,47,3.6,0,0,0,7,7,22,31,47,8,9
Santo vs. Frankenstein's Daughter,1971,Miguel M. Delgado,97,122,31,3.2,0,3,1,8,15,19,9,6,4,2
Speed of Life,2019,Liz Manashil,76,112,12,2.9,2,1,5,24,10,22,9,4,2,2
Dust,2005,Sergei Loban,107,234,42,3.5,3,1,3,4,11,19,26,32,16,12
Battle Queen 2020,2001,Daniel D'Or,95,169,9,2.0,15,47,26,16,9,11,1,1,0,0
The Milpitas Monster,1976,Robert L. Burrill,80,103,17,2.7,9,5,7,12,8,12,4,1,0,1
Retrograde,2004,Christopher Kulikowski,93,246,8,1.9,30,50,25,25,12,7,3,0,1,2
Deadly Weapon,1989,Michael Miner,90,64,11,3.1,0,2,2,11,6,8,4,5,2,0
Eyeborgs,2009,Richard Clabaugh,103,212,12,2.5,11,24,9,21,27,23,8,9,0,1
Only,2019,Takashi Doscher,98,129,14,2.9,2,3,7,14,19,23,16,4,0,1
Strange Blood,2015,Chad Michael Ward,84,166,7,2.3,11,22,21,22,14,7,2,5,0,0
Fright Show,1985,"Jonathan Mostow,Damon Santostefano,Frank Kerr,Jeffrey Baker,Richard Taylor",58,69,14,3.2,1,0,1,4,12,11,6,3,1,2
Steel Frontier,1995,"Paul G. Volk,Joe Hart",105,142,16,3.0,1,4,5,15,18,23,12,2,2,3
Sniffer,2006,Bobbie Peers,10,287,16,3.0,0,8,5,13,24,40,36,9,2,3
Legion of the Dead,2001,Olaf Ittenbach,89,266,11,2.2,26,30,18,26,18,14,11,3,1,1
The Cremators,1972,Harry Essex,72,105,11,2.2,9,24,24,8,5,5,0,1,0,0
Hereafter,2015,Ralph Sepe Jr.,8,272,43,2.9,4,9,7,17,26,52,18,12,4,2
Plastic Little: The Adventures of Captain Tita,1994,Kinji Yoshimoto,55,273,29,3.0,3,5,4,28,16,48,18,13,3,2
Mutant Species,1995,David A. Prior,100,126,9,2.4,12,14,9,17,8,9,0,3,0,0
Space Thing,1968,Byron Mabe,69,104,14,2.7,8,7,11,8,9,12,3,3,1,0
90210 Shark Attack,2015,David DeCoteau,75,137,7,2.0,36,23,9,4,1,4,1,1,1,2
Foes,1977,John Coats,91,88,20,3.1,0,3,0,13,12,22,11,7,0,2
Epoch,2001,Matt Codd,96,251,15,2.4,6,15,20,42,21,16,3,0,0,1
Daybreak,1993,Stephen Tolkin,91,240,21,2.7,3,11,12,27,32,34,7,5,0,1
Atmo HorroX,2016,Pat Tremblay,101,48,10,3.1,2,4,2,2,6,6,5,3,0,2
Kill Order,2017,"James Mark,James Mark",77,143,16,2.7,5,8,9,29,17,14,6,7,0,0
The Clones,1973,"Lamar Card,Paul Hunt",95,77,7,2.9,1,6,3,10,13,8,4,0,1,1
Odyssey Into the Mind's Eye,1996,,50,107,19,3.4,0,0,0,5,3,10,7,13,2,0
L.O.R.D: Legend of Ravaging Dynasties,2016,Guo Jingming,113,190,19,2.5,21,14,11,23,24,13,9,6,4,5
After Darkness,2019,Batan Silva,98,156,2,2.2,17,25,15,26,16,9,1,2,1,0
Vipers,2008,Bill Corcoran,95,201,7,2.2,14,25,24,15,13,3,2,1,1,2
The Last Day of Summer,2007,Blair Treu,83,395,15,2.3,20,21,21,28,17,23,6,3,1,3
The Landing,2013,Josh Tanner,18,188,30,3.5,0,0,1,3,14,26,26,34,7,6
Flight 714,1992,Stéphane Bernasconi,42,524,52,3.4,0,2,1,14,14,57,34,27,9,14
Mobile Suit Zeta Gundam A New Translation I: Heirs to the Stars,2005,Yoshiyuki Tomino,94,252,41,3.3,1,3,3,8,15,44,24,28,6,7
Warriors of the Apocalypse,1985,Bobby A. Suarez,95,81,4,3.0,1,2,4,10,5,9,5,4,0,0
Doctor Who: The Sontaran Experiment,1975,Rodney Bennett,50,284,57,3.4,0,1,0,6,14,44,39,24,3,6
Out There,1995,Sam Irvin,98,79,16,3.1,0,4,4,7,8,14,8,4,0,1
Mythica: The Godslayer,2016,John Lyde,118,156,34,3.2,0,4,5,6,16,33,14,16,1,6
500 MPH Storm,2013,Daniel Lusko,90,208,10,1.8,48,42,15,13,5,9,2,1,1,0
Deadful Melody,1994,Min Kan Ng,91,164,28,3.3,1,1,1,5,13,25,23,14,4,2
Spoiler,1998,Jeff Burr,99,80,10,2.8,1,9,6,10,5,6,3,1,1,1
Galactic Gigolo,1987,Gorman Bechard,80,57,11,2.9,1,5,7,6,4,12,3,3,0,0
Way... Way Out,1966,Gordon Douglas,101,186,23,2.7,0,10,14,21,16,21,7,4,0,1
Doctor Who: The Green Death,1973,Michael E. Briant,150,232,69,3.8,0,0,2,0,5,20,21,39,15,24
Blue Submarine No. 6 - The Movie,1998,Mahiro Maeda,130,223,33,3.3,2,3,0,10,14,30,32,11,10,7
Star Wars Droids: Treasure of the Hidden Planet,1985,,88,272,27,2.7,4,14,10,23,18,42,8,2,2,4
The Dark Lurking,2010,Gregory Connors,96,142,7,2.3,21,19,16,15,8,9,5,1,1,0
Vampire Bats,2005,Eric Bross,120,169,9,2.5,7,14,10,31,23,11,1,2,0,2
The Ghostmaker,2011,Mauro Borrelli,91,196,7,2.5,9,21,22,21,26,26,7,3,0,2
The Day the Fish Came Out,1967,Mihalis Kakogiannis,109,89,9,3.1,3,2,4,5,6,10,2,7,4,1
The District,2004,Áron Gauder,87,180,14,3.0,6,6,3,15,11,21,18,14,2,2
Hu-Man,1975,Jérôme Laperrousaz,93,44,11,3.4,1,0,2,2,3,5,7,11,1,1
"The Peter Weyland Files: Happy Birthday, David",2012,Johnny Hardstaff,3,357,46,3.4,0,4,0,4,4,47,27,23,5,12
Megazone 23 III,1989,"Shinji Aramaki,Kenichi Yatagai",100,148,20,3.0,2,2,7,15,12,22,12,4,1,2
War of the Planets,1966,Antonio Margheriti,96,117,17,2.8,2,5,8,16,14,20,6,5,1,0
The Cosmic Man,1959,Herbert S. Greene,72,96,11,2.8,2,3,9,16,11,7,2,1,0,0
Eden of the East: Air Communication,2009,Kenji Kamiyama,125,278,32,3.2,1,3,3,15,14,30,27,14,6,7
Diverge,2016,James Morrison,85,145,13,2.8,3,6,10,19,19,26,17,4,0,0
Lego Star Wars: The Yoda Chronicles - Menace of the Sith,2013,Michael Hegner,22,310,47,2.9,1,13,9,22,26,51,22,8,5,6
Autopsy of a Ghost,1968,Ismael Rodríguez,106,50,4,3.1,0,4,0,5,7,5,4,2,0,1
Doraemon: Nobita's Dinosaur,1980,Hiroshi Fukutomi,100,295,41,3.5,1,0,0,7,14,38,24,28,8,13
The Shadow Effect,2017,"Amariah Olson,Obin Olson",93,171,7,2.2,21,18,20,29,10,15,4,2,0,0
The Killings at Outpost Zeta,1980,"Allan Sandler,Robert Emenegger",89,83,10,2.9,1,3,3,13,12,7,2,0,0,1
Undersea Kingdom,1936,"Joseph Kane,B. Reeves Eason",226,112,12,2.8,4,5,7,17,11,5,4,2,1,2
New Alcatraz,2001,Phillip J. Roth,96,265,6,2.2,14,25,22,27,15,9,2,3,0,0
Snow Beast,2011,Brian Brough,90,198,10,2.3,11,24,25,30,11,6,2,3,1,2
Peut-être,1999,Cédric Klapisch,109,226,19,3.1,3,3,9,13,13,30,12,17,3,3
Beyond,2014,"Joseph Baker,Tom Large",89,109,4,2.7,5,11,9,19,14,14,8,3,0,1
The Collapsed,2011,Justin McConnell,82,153,5,2.2,20,28,14,24,8,8,4,0,1,0
The Flying Saucer,1950,Mikel Conrad,69,108,9,2.5,4,12,12,26,9,3,0,0,0,0
Destination Inner Space,1966,Francis D. Lyon,83,132,17,2.7,1,8,11,16,14,12,5,2,0,0
Grayson,2004,John Fiorella,6,221,31,3.1,2,3,5,17,12,27,14,19,4,6
Doctor Who: Revenge of the Cybermen,1975,Michael E. Briant,100,259,38,3.1,2,5,4,14,16,40,25,15,2,5
Love Story 2050,2008,Harry Baweja,180,392,16,1.9,51,36,22,28,9,11,1,3,0,4
Super Stooges vs the Wonder Women,1974,Alfonso Brescia,105,100,10,3.0,1,5,8,8,9,12,4,5,1,2
Carnivore,2000,"Kenneth Mader,Joseph Kurtz",80,150,11,2.2,14,26,13,22,2,6,0,0,0,3
Nightfall,1988,Paul Mayersberg,83,100,7,2.5,11,8,17,14,6,5,3,1,0,0
The Phoenix Project,2015,Tyler Graham Pavey,92,148,8,2.7,3,13,10,25,15,17,5,8,0,2
Habitat,1997,René Daalder,103,139,13,2.9,3,5,3,14,16,21,7,3,2,1
"Onesime, Clockmaker",1912,Jean Durand,7,191,20,3.1,0,6,4,8,9,30,9,17,1,1
Doctor Who: Battlefield,1989,Michael Kerrigan,95,234,52,3.4,1,1,3,6,7,32,26,33,5,5
Invasion of the Space Preachers,1990,Daniel Boyd,100,72,8,2.9,2,7,2,7,7,11,4,2,0,1
Zodiac,2014,W.D. Hogan,89,199,10,2.0,39,34,18,18,11,2,4,6,1,2
Weather Woman,1995,Tomoaki Hosoyama,85,132,13,3.1,2,2,3,10,12,26,11,8,1,6
It's Me It's Me,2013,Satoshi Miki,119,173,18,3.1,1,1,5,11,20,25,16,14,3,2
Doctor Who: The Keys of Marinus,1964,John Gorrie,150,229,40,3.3,0,1,4,9,12,39,22,23,10,3
Jossy's,2014,Yuichi Fukuda,97,111,22,3.1,0,3,5,8,15,21,13,4,1,2
The Last Days of the World,2011,Eiji Uchida,96,73,10,3.1,1,3,0,10,6,11,7,4,1,2
Space Quest,2015,Bertie Gilbert,4,271,15,2.9,3,7,7,14,15,25,12,5,1,1
